,year,age,race:AfricanAmerican,race:Asian,race:Caucasian,race:Hispanic,race:Other,hypertension,heart_disease,bmi,hbA1c_level,blood_glucose_level,sleep_hours,family_history,medication_use,gestational_history,environmental_risk
count,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,58552.0,100000.0
mean,2018.3608,41.8859,0.2022,0.2002,0.1988,0.1989,0.2,0.0748,0.0394,27.3208,5.5275,138.0581,6.4939,0.3001,0.1504,0.0993,5.5066
std,1.3452,22.5168,0.4017,0.4001,0.3991,0.3992,0.4,0.2632,0.1946,6.6368,1.0707,40.7081,1.7083,0.4583,0.3575,0.2991,2.8747
min,2015.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01,3.5,80.0,4.0,0.0,0.0,0.0,1.0
25%,2019.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.63,4.8,100.0,5.0,0.0,0.0,0.0,3.0
50%,2019.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.32,5.8,140.0,6.0,0.0,0.0,0.0,6.0
75%,2019.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.58,6.2,159.0,8.0,1.0,0.0,0.0,8.0
max,2022.0,80.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.69,9.0,300.0,9.0,1.0,1.0,1.0,10.0
skewness,-1.7516,-0.052,1.4827,1.4988,1.5097,1.5088,1.5002,3.2312,4.7338,1.0438,-0.0669,0.8216,0.005,0.8722,1.9555,2.6791,-0.0018
kurtosis,1.2907,-1.0038,0.1984,0.2465,0.2793,0.2764,0.2505,8.441,20.4089,3.5205,0.2153,1.7375,-1.2699,-1.2393,1.8238,5.1777,-1.2267
cv,0.0007,0.5376,1.9862,1.9991,2.0078,2.007,2.0001,3.5157,4.9364,0.2429,0.1937,0.2949,0.2631,1.5271,2.3763,3.0112,0.522
