feature,importance
age_group_Senior,0.37386996
hbA1c_level,0.2560748
blood_glucose_level,0.14165877
age_group_Middle-aged,0.057239767
age,0.03578189
smoking_history_No Info,0.020553451
bmi,0.020146912
bmi_category_Normal,0.019966392
smoking_history_not current,0.005757189
bmi_category_Overweight,0.005749753
location_Kansas,0.00543728
bmi_risk_level,0.0051515833
location_Kentucky,0.0048945723
gestational_history_1.0,0.004738511
age_diabetes_risk,0.004718474
smoking_history_ever,0.00449006
gestational_history_0.0,0.0044080303
smoking_history_never,0.0041897036
alcohol_intake_none,0.004176608
smoking_history_current,0.004115885
smoking_history_former,0.003933467
region_income_high,0.0038420276
year_2019,0.003739401
location_Delaware,0.0027047212
age_group_Adult,0.0026607553
bmi_category_Obese,0.0
year_2022,0.0
gestational_history_Not Applicable,0.0
bmi_category_Underweight,0.0
gestational_history_No,0.0
age_group_Child,0.0
gender_Male,0.0
gender_Female,0.0
